                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                0.93696,                0.64943,                 1.0078,                0.63439,                0.51472,                  0.515,                0.33856,                0.98233,                0.75044,                 1.0699,               0.000604,               0.000604,               0.000604
                     22,                0.90885,                0.61586,                 1.0165,                0.66985,                0.55122,                0.53867,                0.35585,                0.94186,                0.68673,                 1.0585,              0.0005842,              0.0005842,              0.0005842
                     23,                0.90773,                0.60793,                 1.0216,                0.76173,                0.52397,                0.55102,                0.36529,                0.96709,                0.66789,                 1.0617,              0.0005644,              0.0005644,              0.0005644
                     24,                0.89097,                0.58621,                 1.0044,                0.71289,                0.52093,                0.54113,                0.36162,                0.94264,                0.65944,                 1.0635,              0.0005446,              0.0005446,              0.0005446
                     25,                0.91791,                0.59802,                 1.0188,                0.72547,                0.53298,                0.54954,                0.36274,                0.93159,                0.64987,                 1.0639,              0.0005248,              0.0005248,              0.0005248
                     26,                0.89181,                0.59432,                 1.0066,                0.69119,                0.58287,                0.55188,                0.37566,                0.99517,                0.66158,                 1.0724,               0.000505,               0.000505,               0.000505
                     27,                0.88092,                0.57191,                0.99075,                0.57565,                0.54415,                0.54791,                0.36777,                 1.0347,                0.68049,                 1.0855,              0.0004852,              0.0004852,              0.0004852
                     28,                 0.8929,                0.58438,                 1.0053,                0.56905,                0.53461,                0.56164,                0.37874,                0.92398,                0.66368,                 1.0538,              0.0004654,              0.0004654,              0.0004654
                     29,                0.84493,                0.54795,                0.98477,                0.75558,                0.54731,                0.55658,                0.36805,                0.93957,                0.64662,                 1.0551,              0.0004456,              0.0004456,              0.0004456
                     30,                0.87262,                0.55463,                0.98654,                0.68003,                0.53572,                0.52778,                0.35375,                0.92596,                0.66031,                 1.0473,              0.0004258,              0.0004258,              0.0004258
                     31,                0.85879,                 0.5468,                0.98129,                0.69119,                0.54569,                0.53565,                0.36253,                0.92075,                0.60701,                 1.0477,               0.000406,               0.000406,               0.000406
                     32,                0.81201,                0.52581,                0.96519,                0.55231,                 0.5519,                0.55886,                0.38066,                0.91307,                0.59162,                 1.0439,              0.0003862,              0.0003862,              0.0003862
                     33,                0.80482,                0.50717,                0.96952,                0.74657,                0.53389,                 0.5672,                0.38502,                0.93328,                0.58882,                 1.0447,              0.0003664,              0.0003664,              0.0003664
                     34,                0.80835,                0.50513,                 0.9619,                0.76366,                0.55952,                0.56925,                0.38001,                0.91431,                0.59138,                 1.0441,              0.0003466,              0.0003466,              0.0003466
                     35,                0.79941,                0.49963,                0.96495,                0.71881,                0.53305,                  0.555,                0.37756,                0.89673,                0.58836,                 1.0334,              0.0003268,              0.0003268,              0.0003268
                     36,                0.77538,                0.49504,                0.95413,                0.76238,                0.53752,                0.55902,                0.37922,                0.89205,                0.59702,                 1.0324,               0.000307,               0.000307,               0.000307
                     37,                 0.7865,                0.50237,                0.95402,                0.55853,                0.55431,                0.55705,                0.38089,                0.90381,                0.58394,                 1.0353,              0.0002872,              0.0002872,              0.0002872
                     38,                0.78781,                0.49066,                0.96223,                 0.7296,                0.55934,                0.56368,                0.37991,                0.92773,                0.58304,                 1.0364,              0.0002674,              0.0002674,              0.0002674
                     39,                0.76445,                0.47693,                0.95013,                0.72702,                 0.5935,                0.58745,                0.40503,                0.90654,                0.55835,                 1.0319,              0.0002476,              0.0002476,              0.0002476
                     40,                0.75223,                0.46579,                0.94545,                0.82494,                0.53072,                0.58411,                0.40367,                0.89444,                 0.5616,                 1.0328,              0.0002278,              0.0002278,              0.0002278
                     41,                0.71058,                0.42642,                0.94112,                 0.7332,                 0.5677,                0.56437,                 0.3841,                  0.898,                0.55818,                 1.0323,               0.000208,               0.000208,               0.000208
                     42,                0.71372,                0.41731,                0.93352,                0.70684,                0.58307,                0.56231,                0.37865,                0.91655,                0.57665,                 1.0565,              0.0001882,              0.0001882,              0.0001882
                     43,                0.69705,                0.40604,                 0.9305,                0.74293,                0.57581,                  0.569,                0.37803,                0.92917,                0.57342,                  1.055,              0.0001684,              0.0001684,              0.0001684
                     44,                0.69434,                0.40448,                0.93228,                0.74148,                0.57878,                0.56561,                 0.3812,                0.90529,                 0.5672,                 1.0466,              0.0001486,              0.0001486,              0.0001486
                     45,                0.66037,                 0.3877,                0.91848,                0.74116,                0.56542,                 0.5553,                0.38452,                0.90287,                0.54345,                 1.0403,              0.0001288,              0.0001288,              0.0001288
                     46,                0.65821,                0.38641,                0.92034,                 0.7282,                0.58317,                0.56314,                0.38389,                0.90713,                0.54764,                 1.0466,               0.000109,               0.000109,               0.000109
                     47,                0.65697,                0.37855,                0.91393,                0.72836,                0.57553,                0.56826,                0.39261,                0.89451,                0.53849,                 1.0452,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.64944,                0.37841,                0.91013,                 0.7331,                0.57259,                0.56577,                0.38996,                0.88341,                0.53463,                 1.0373,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.63536,                0.36805,                0.91274,                0.72753,                0.56672,                0.56623,                0.39089,                0.88874,                0.53604,                 1.0366,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.63893,                0.37119,                0.91156,                0.73722,                0.57476,                0.57016,                0.39262,                0.88338,                0.53097,                 1.0347,               2.98e-05,               2.98e-05,               2.98e-05
