                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.94494,                0.92359,                 1.1074,                0.60386,                0.34428,                0.39971,                 0.2712,                 1.2672,                 1.5607,                 1.3208,             5.1662e-05,             5.1662e-05,             5.1662e-05
                     34,                0.94265,                0.91933,                 1.1028,                0.50847,                0.40436,                0.39938,                0.26912,                 1.2623,                 1.5748,                 1.3269,             4.8871e-05,             4.8871e-05,             4.8871e-05
                     35,                0.94185,                0.90559,                  1.102,                0.45257,                0.44038,                0.40739,                0.27616,                 1.2446,                  1.526,                 1.3148,             4.6079e-05,             4.6079e-05,             4.6079e-05
                     36,                  0.957,                0.93468,                 1.1175,                0.52387,                0.38922,                0.40861,                0.27442,                 1.2644,                 1.5373,                  1.323,             4.3287e-05,             4.3287e-05,             4.3287e-05
                     37,                0.92674,                0.89485,                 1.0981,                0.56626,                0.39173,                 0.4215,                0.28629,                   1.24,                  1.498,                 1.3126,             4.0495e-05,             4.0495e-05,             4.0495e-05
                     38,                0.93948,                0.90912,                 1.1077,                0.52197,                0.41294,                0.41808,                0.27929,                 1.2359,                  1.502,                 1.3164,             3.7703e-05,             3.7703e-05,             3.7703e-05
                     39,                0.93124,                0.87821,                 1.0951,                0.56118,                0.40202,                0.41223,                0.27607,                 1.2449,                 1.4932,                 1.3088,             3.4912e-05,             3.4912e-05,             3.4912e-05
                     40,                0.91282,                 0.8542,                 1.0913,                0.54514,                0.41948,                   0.43,                0.29282,                  1.236,                 1.4874,                 1.3039,              3.212e-05,              3.212e-05,              3.212e-05
                     41,                0.90966,                0.85396,                 1.1033,                 0.6398,                0.38674,                0.43321,                0.29285,                 1.2518,                 1.5067,                 1.3277,             2.9328e-05,             2.9328e-05,             2.9328e-05
                     42,                0.86315,                0.75676,                 1.0752,                0.60482,                0.39453,                0.42143,                0.28884,                 1.2631,                 1.4988,                 1.3251,             2.6536e-05,             2.6536e-05,             2.6536e-05
                     43,                0.84646,                0.75153,                 1.0708,                0.60601,                 0.4068,                0.42992,                0.29352,                 1.2494,                 1.4856,                 1.3136,             2.3744e-05,             2.3744e-05,             2.3744e-05
                     44,                0.83094,                0.72301,                 1.0628,                0.50936,                0.42098,                 0.4358,                0.29574,                 1.2381,                 1.4793,                 1.3089,             2.0953e-05,             2.0953e-05,             2.0953e-05
                     45,                 0.8181,                0.71023,                 1.0566,                0.60381,                0.41566,                0.44264,                0.30118,                 1.2385,                 1.4672,                 1.3104,             1.8161e-05,             1.8161e-05,             1.8161e-05
                     46,                0.81083,                0.69167,                 1.0537,                0.63584,                0.39732,                0.44153,                0.30429,                 1.2197,                 1.4588,                 1.3004,             1.5369e-05,             1.5369e-05,             1.5369e-05
                     47,                0.80892,                0.68785,                 1.0552,                 0.6551,                0.39703,                0.44328,                0.30654,                 1.2202,                 1.4602,                 1.3006,             1.2577e-05,             1.2577e-05,             1.2577e-05
                     48,                0.80511,                0.68684,                 1.0503,                0.64018,                0.39934,                0.44494,                0.30736,                  1.222,                 1.4598,                 1.2971,             9.7854e-06,             9.7854e-06,             9.7854e-06
                     49,                0.80011,                0.68929,                 1.0529,                0.65704,                0.39007,                0.44622,                0.30937,                 1.2176,                 1.4588,                 1.2959,             6.9936e-06,             6.9936e-06,             6.9936e-06
                     50,                0.79774,                  0.675,                 1.0415,                0.66748,                0.38553,                0.44353,                0.30569,                 1.2252,                 1.4584,                    1.3,             4.2018e-06,             4.2018e-06,             4.2018e-06
